"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R10";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"R";;;
2;"R9,R8,R7,R6,R4,R3,R2,R1";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";8;"100";;;
3;"R5";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"82";;;
4;"U3";"ADXL343_Breakout";1;"ADXL343_Breakout";;;
5;"U2";"SOT-23-5";1;"MIC5504-3.3YM5";;;
6;"D9,D1,D2,D3,D4,D5,D6,D7,D8";"LED_D5.0mm";9;"LED";;;
7;"J1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_SWD";;;
8;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_VIN";;;
9;"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9";"SOT-23";9;"2N7002";;;
10;"SW1,SW2";"SW_PUSH_6mm";2;"SW_Push";;;
11;"U1";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32F030F4Px";;;
12;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_SW_INT";;;
13;"C1";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"100n";;;
14;"C2";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"4.7u";;;
15;"C3";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"10n";;;
16;"C4";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1u";;;
17;"C5,C6";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"1u";;;
18;"SB1,SB2";"R_0201_0603Metric";2;"0";;;
