Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",199.149998,-30.842042,270.000000,top
"C2","4.7u","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",201.930000,-30.607000,270.000000,top
"C3","10n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",193.675000,-40.259000,180.000000,top
"C4","1u","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",194.437000,-42.545000,180.000000,top
"C5","1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",196.723000,-25.781000,270.000000,top
"C6","1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",203.454000,-26.148000,90.000000,top
"Q1","2N7002","SOT-23",213.360000,-26.670000,0.000000,top
"Q2","2N7002","SOT-23",213.360000,-34.036000,0.000000,top
"Q3","2N7002","SOT-23",213.106000,-41.402000,0.000000,top
"Q4","2N7002","SOT-23",213.106000,-48.768000,0.000000,top
"Q5","2N7002","SOT-23",212.852000,-56.134000,0.000000,top
"Q6","2N7002","SOT-23",213.106000,-63.500000,0.000000,top
"Q7","2N7002","SOT-23",213.106000,-70.866000,0.000000,top
"Q8","2N7002","SOT-23",213.360000,-78.232000,0.000000,top
"Q9","2N7002","SOT-23",212.852000,-83.820000,0.000000,top
"R1","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",217.170000,-26.670000,0.000000,top
"R2","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",217.170000,-34.036000,0.000000,top
"R3","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",216.916000,-41.402000,0.000000,top
"R4","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",216.916000,-48.768000,0.000000,top
"R5","82","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",216.916000,-56.134000,0.000000,top
"R6","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",217.170000,-63.500000,0.000000,top
"R7","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",216.916000,-70.866000,0.000000,top
"R8","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",216.916000,-78.232000,0.000000,top
"R9","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",216.662000,-83.820000,0.000000,top
"R10","R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",204.914500,-29.654500,270.000000,top
"SB1","0","R_0201_0603Metric",210.566000,-28.067000,90.000000,top
"SB2","0","R_0201_0603Metric",210.185000,-57.404000,90.000000,top
"U1","STM32F030F4Px","TSSOP-20_4.4x6.5mm_P0.65mm",193.434998,-34.017042,270.000000,top
"U2","MIC5504-3.3YM5","SOT-23-5",200.025000,-25.908000,270.000000,top
